127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000685
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/js/jquery.js, HTTP/1.1, 304, 0.000589
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/css/calendar.css, HTTP/1.1, 304, 0.000262
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/js/web2py.js, HTTP/1.1, 304, 0.001370
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000495
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002476
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/css/web2py.css, HTTP/1.1, 304, 0.000478
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/js/calendar.js, HTTP/1.1, 304, 0.001060
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000473
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004009
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001140
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.002227
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/images/Blue3.jpg, HTTP/1.1, 304, 0.000330
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/images/gplus-32.png, HTTP/1.1, 304, 0.000523
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/images/twitter.png, HTTP/1.1, 304, 0.000978
127.0.0.1, 2013-04-18 22:08:37, GET, /project/static/images/facebook.png, HTTP/1.1, 304, 0.000469
127.0.0.1, 2013-04-18 22:13:34, GET, /project/default/dev/65, HTTP/1.1, 200, 0.054346
127.0.0.1, 2013-04-18 22:13:34, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000355
127.0.0.1, 2013-04-18 22:13:38, GET, /project/default/user1/65, HTTP/1.1, 500, 0.052324
127.0.0.1, 2013-04-18 22:13:40, GET, /admin/default/ticket/project/127.0.0.1.2013-04-18.22-13-38.df295234-013d-48d5-86d1-c62fada93374, HTTP/1.1, 200, 0.047414
127.0.0.1, 2013-04-18 22:14:08, GET, /project/default/dev/65, HTTP/1.1, 200, 0.051334
127.0.0.1, 2013-04-18 22:14:08, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000362
127.0.0.1, 2013-04-18 22:14:10, GET, /project/default/user1/65, HTTP/1.1, 200, 0.037541
127.0.0.1, 2013-04-18 22:14:10, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000437
127.0.0.1, 2013-04-18 22:14:14, GET, /project/default/downm/23/65, HTTP/1.1, 404, 0.041434
127.0.0.1, 2013-04-18 22:14:17, GET, /project/default/user1/65, HTTP/1.1, 200, 0.059167
127.0.0.1, 2013-04-18 22:15:27, GET, /project/default/user1/65, HTTP/1.1, 200, 0.056419
127.0.0.1, 2013-04-18 22:15:27, GET, /project/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000267
127.0.0.1, 2013-04-18 22:15:27, GET, /project/static/js/jquery.js, HTTP/1.1, 304, 0.000806
127.0.0.1, 2013-04-18 22:15:27, GET, /project/static/css/calendar.css, HTTP/1.1, 304, 0.000322
127.0.0.1, 2013-04-18 22:15:27, GET, /project/static/js/calendar.js, HTTP/1.1, 304, 0.000291
